p1,p2,p3,p4,p5,p6,middle,last,p(30%),middle(30%),last(40%),score(100%)
100,100,100,100,80,0,86.25,32.72727273,24.85714286,25.875,13.09090909,63.82305195
100,100,100,100,100,100,41.875,45.45454545,30,12.5625,18.18181818,60.74431818
0,0,0,0,0,0,6.25,0,0,1.875,0,1.875
100,100,35,0,0,0,0,0,15,0,0,15
100,100,100,100,100,100,41.875,10.90909091,30,12.5625,4.363636364,46.92613636
100,100,100,100,100,100,29.375,0,30,8.8125,0,38.8125
100,100,100,100,100,100,100,35.45454545,30,30,14.18181818,74.18181818
100,100,100,100,100,100,71.875,43.63636364,30,21.5625,17.45454545,69.01704545
100,100,100,100,80,100,71.25,27.27272727,29.14285714,21.375,10.90909091,61.42694805
80,100,90,100,50,0,100,26.36363636,22.28571429,30,10.54545455,62.83116883
100,100,100,100,100,100,19.375,0,30,5.8125,0,35.8125
100,100,100,100,0,0,29.375,0,21.42857143,8.8125,0,30.24107143
100,100,100,100,100,100,88.125,86.36363636,30,26.4375,34.54545455,90.98295455
100,100,100,100,90,100,84.375,10.90909091,29.57142857,25.3125,4.363636364,59.24756494
